source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__alpha_Fe_,e__alpha_Fe_,__C_Fe_,e__C_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ba_Fe_,e__Ba_Fe_,__Eu_Fe_,e__Eu_Fe_
5432536491547215872,4074.41,119.29,0.956734,0.354573,-1.108584,0.135168,,,,,,,,,,,,,,,,,,,,,,,,
5444188535960979968,4695.33,99.43,1.743548,0.286177,-1.164615,0.082443,0.173458,0.0423321,,,0.444254,0.1335018,0.184368,0.0756177,,,0.167358,0.0593414,0.021355,0.0764595,0.047692,0.0793887,-0.471329,0.0791518,-0.226299,0.0778603,0.409176,0.091421,0.385894,0.0995439
5450460012846133504,4541.06,110.42,1.595849,0.274261,-1.121898,0.095981,0.091983,0.0493179,,,0.834742,0.1581025,0.06052,0.1038708,-0.236553,0.0855676,0.137224,0.0741894,0.24225,0.0919295,0.053209,0.0855071,-0.516898,0.1068502,-0.273613,0.0927846,0.656632,0.1149577,0.056193,0.1129965
5451751492331962112,4568.55,109.05,1.75965,0.310665,-0.713396,0.085026,0.096292,0.0401477,,,0.240651,0.1582666,0.007954,0.1040812,-0.18932,0.085665,0.000665,0.0742936,0.190664,0.0920334,0.136316,0.0704797,-0.344894,0.1070511,-0.080153,0.0928817,0.292622,0.1151211,0.376393,0.1130804
5458555648243414144,5032.35,134.91,2.39611,0.252612,-0.767728,0.132133,0.061361,0.0655772,,,0.442631,0.2036145,-0.122892,0.1730691,-0.003828,0.1125582,-0.009503,0.1053902,0.123116,0.1210169,0.234797,0.192059,-0.411765,0.1702194,-0.40288,0.1781917,0.412706,0.1630402,0.536921,0.139273
5458578634907897088,6198.62,95.03,3.96102,0.182919,-2.186846,0.233841,0.494703,0.0976532,,,0.515102,0.1604939,0.793624,0.1573783,,,1.246198,0.0757143,0.307557,0.1245248,,,0.343162,0.109799,,,0.170023,0.117346,,
5465411511260457088,4403.38,82.93,1.933343,0.21717,-0.623877,0.061027,0.291669,0.0228224,,,0.472306,0.1071321,0.298492,0.0527859,0.366099,0.0553062,0.265543,0.0453573,0.148062,0.0601496,0.321101,0.0331593,-0.154101,0.055198,0.066858,0.0609757,-0.070861,0.0686126,0.410231,0.0824593
5467876070870664832,6066.24,79.86,3.18721,0.211825,-0.944822,0.08829,0.119997,0.0276064,,,1.080742,0.1003495,0.062838,0.0482055,,,0.110138,0.0421419,0.214588,0.0560137,,,-0.544328,0.0509976,,,0.993686,0.0632357,,
5478389944653045248,4468.57,92.74,2.269329,0.199073,-0.896772,0.076514,,,,,,,,,,,,,,,,,,,,,,,,
5479469527633070464,4664.68,104.75,1.927294,0.290549,-1.444248,0.096263,0.02798,0.0561326,,,0.507514,0.1500668,0.033087,0.0939205,0.24573,0.0807996,0.387533,0.0691676,0.054104,0.0868536,0.113599,0.0896431,-0.461123,0.0972676,0.146486,0.087989,-0.24146,0.1070577,0.602329,0.1088017
