source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__alpha_Fe_,e__alpha_Fe_,__C_Fe_,e__C_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ba_Fe_,e__Ba_Fe_,__Eu_Fe_,e__Eu_Fe_
5727712761826946944,5709.4,84.06,4.095479,0.18173,-0.644983,0.070269,0.238612,0.0266807,,,0.581097,0.1081402,0.237921,0.0535127,0.180577,0.0559052,0.206088,0.0458497,0.261629,0.0607667,0.269284,0.0568827,-0.243829,0.0559958,0.010529,0.0707892,-0.127063,0.0694306,,
5728047833698851072,4671.35,112.72,1.664803,0.313354,-1.231188,0.092987,0.150164,0.0439544,,,0.519757,0.146152,0.163047,0.0893251,-0.056723,0.0784764,0.159077,0.0667799,0.331264,0.0843884,0.106183,0.086504,-0.316862,0.0927844,-0.165997,0.0856256,0.236052,0.1032811,0.187836,0.1066929
5729219092755557504,5230.43,102.99,3.367655,0.190397,-1.144505,0.100175,0.177267,0.0479145,,,0.645326,0.1495851,0.210937,0.0933461,0.356837,0.0851662,0.148365,0.0688717,,,0.197533,0.0953505,-0.289557,0.0967093,-0.210266,0.1646311,0.373148,0.1065904,0.828736,0.1085447
5762804461404900352,3809.97,97.61,1.294772,0.356292,-0.345683,0.120643,,,,,,,,,,,,,,,,,,,,,,,,
5777613203701913728,3711.93,104.79,0.807946,0.320677,-0.370321,0.126153,,,,,,,,,,,,,,,,,,,,,,,,
5778971134922699264,4963.73,126.26,2.898004,0.203756,-0.840419,0.100738,0.299094,0.0450904,,,0.600477,0.1621048,0.386321,0.1090846,0.545423,0.0879421,0.301381,0.0767492,0.311563,0.0944651,0.165283,0.0998946,-0.283382,0.1118102,0.106195,0.095146,0.303207,0.1189641,0.484152,0.1150238
5779019680934126080,3833.46,75.6,0.698106,0.31174,-0.994305,0.053539,,,,,,,,,,,,,,,,,,,,,,,,
5779588132745331840,3762.2,86.16,0.596291,0.346495,-0.388091,0.077556,,,,,,,,,,,,,,,,,,,,,,,,
5779715676094907904,5065.09,134.4,2.306358,0.239037,-1.498824,0.149619,0.084384,0.0882702,,,0.202239,0.1875851,0.08385,0.1462403,0.618537,0.1030545,0.176724,0.0938992,0.08469,0.1107129,,,-0.30082,0.1461985,0.150943,0.1617989,-0.152388,0.1455035,0.844452,0.1271133
5780771035459288704,4046.08,134.87,0.773522,0.274206,-1.080198,0.14718,,,,,,,,,,,,,,,,,,,,,,,,
5782546712380381696,4796.64,251.83,2.998247,0.255364,-0.414868,0.195842,0.477985,0.1020927,,,0.916351,0.2625451,,,0.356709,0.1474791,0.41334,0.1517076,0.649987,0.1593434,0.175456,0.2762073,-0.026709,0.2732166,,,0.311886,0.2322954,1.042982,0.157011
5786983379235712512,4735.8,86.71,1.699638,0.200633,-2.274361,0.067935,0.290578,0.0285872,,,,,0.139955,0.054494,,,0.242747,0.0640006,0.372872,0.0426493,0.475055,0.1036929,-0.263113,0.0381671,,,0.20184,0.0473805,,
5791487288105971712,4986.06,183.09,2.346799,0.234655,-1.341834,0.183543,0.224913,0.0779997,,,0.485838,0.2204473,0.105694,0.2040628,0.448665,0.1225357,0.17911,0.1179933,0.316704,0.1318976,0.304278,0.3009016,-0.457896,0.1973368,0.036015,0.1955017,0.028277,0.1820901,0.920692,0.1410682
5797470310681779840,4064.02,80.7,1.056409,0.277406,-0.636378,0.05947,,,,,,,,,,,,,,,,,,,,,,,,
5808630323651464448,4985.03,127.31,2.745546,0.205907,-1.115172,0.126869,0.42147,0.0574256,,,0.732654,0.1857748,0.347129,0.1433767,0.337968,0.1019811,0.431568,0.0926343,0.450866,0.1095529,0.421289,0.1351589,-0.177764,0.1435991,0.107641,0.1599536,0.429763,0.1435621,0.749736,0.1262958
5809787800151029120,5474.73,117.03,2.589463,0.23322,-1.030894,0.152788,0.304004,0.0525998,0.808596,0.1526062,0.910776,0.1673013,0.282801,0.1161082,0.501795,0.0910248,0.381048,0.080129,0.162166,0.0977644,0.468162,0.1928584,-0.339866,0.1184328,0.180743,0.1411989,0.857024,0.1242344,0.731953,0.1175993
5811341925478455680,6130.1,106.03,3.036426,0.232365,-0.829207,0.186489,0.207468,0.0654295,0.530201,0.1695982,0.70935,0.1945506,-0.030015,0.1575743,0.62752,0.1071846,0.236333,0.0988291,0.174562,0.1151832,0.791727,0.2535329,-0.284482,0.1564163,,,1.087167,0.1530486,,
5811459504505305472,4552.35,113.59,2.66224,0.228146,0.691925,0.113809,,,,,,,,,,,,,,,,,,,,,,,,
5827993307543395840,4799.99,98.53,2.391382,0.206373,-0.356901,0.076237,0.223603,0.0354968,,,0.511128,0.1410803,0.236301,0.0836191,0.260735,0.0754663,0.27366,0.0637457,0.229306,0.0812025,0.146514,0.05603,0.005413,0.0871603,0.068561,0.118693,0.02235,0.0984617,0.082672,0.1084866
5828724070465965312,3989.8,86.71,0.534501,0.408625,-1.123024,0.071024,,,,,,,,,,,,,,,,,,,,,,,,
5837309229028336640,5036.83,129.82,2.34782,0.230842,-1.079727,0.131885,0.347345,0.0605502,,,0.719936,0.1926873,0.161708,0.1544934,0.286085,0.1060799,0.469206,0.0975007,0.332409,0.1139862,0.267431,0.1432996,-0.62278,0.1536495,-0.273881,0.1670066,0.718717,0.1510187,0.487702,0.1534858
