source_id,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__M_H_,e__M_H_,__a_M_,e__a_M_,__C_Fe_,e__C_Fe_,__N_Fe_,e__N_Fe_,__O_Fe_,e__O_Fe_,__Mg_Fe_,e__Mg_Fe_,__Al_Fe_,e__Al_Fe_,__Si_Fe_,e__Si_Fe_,__Ca_Fe_,e__Ca_Fe_,__Ti_Fe_,e__Ti_Fe_,__Mn_Fe_,e__Mn_Fe_,__Ni_Fe_,e__Ni_Fe_,__Ce_Fe_,e__Ce_Fe_
21585272974673024,5022.1,17.2,2.011,0.048,-1.3335,0.0123,-1.3437,0.0123,0.2442,0.0174,-0.1425,0.0534,-0.3465,0.2784,0.422,0.0599,0.2017,0.0272,-0.2736,0.0316,0.1899,0.0294,0.126,0.0414,-0.3839,0.0509,-0.333,0.0417,-0.0608,0.0331,-0.6464,0.1306
61282624901794176,5121.5,23.0,2.848,0.046,-1.0085,0.0127,-1.0083,0.0122,0.1611,0.0161,-0.2184,0.0511,0.9681,0.0503,0.0874,0.0671,0.1691,0.0261,0.0978,0.0358,0.1232,0.0303,0.189,0.0397,-0.1416,0.0542,-0.3394,0.0395,-0.1156,0.0329,-0.5994,0.1711
65354941093231360,3895.9,5.7,0.701,0.033,-1.0468,0.0116,-1.0699,0.0102,0.0586,0.0094,-0.3614,0.0166,0.0135,0.0186,0.0473,0.0134,-0.0213,0.0178,-0.4682,0.0241,-0.0544,0.0183,0.0994,0.0227,,,,,-0.0441,0.0192,,
65354941093231360,3926.9,5.8,0.745,0.032,-1.0072,0.0114,-1.0216,0.01,0.07,0.0091,-0.3297,0.0163,-0.0164,0.0183,0.1153,0.0133,-0.0073,0.0174,-0.4358,0.0238,-0.0349,0.018,0.1125,0.0221,,,,,-0.0287,0.0187,,
66601512401466368,5231.1,20.7,3.386,0.043,-0.9029,0.0114,-0.9162,0.011,0.1967,0.1536,0.0564,0.0484,-0.2851,0.0781,0.5325,0.0697,0.2103,0.0237,-0.1497,0.0323,0.1339,0.0278,0.0936,0.0354,-0.0755,0.0514,-0.3287,0.0353,-0.1098,0.0291,-0.9012,0.1777
66601512401466368,5156.0,24.6,3.288,0.051,-0.9374,0.0149,-0.9552,0.0141,0.2028,0.1762,0.0498,0.0612,-0.3055,0.0835,0.273,0.0834,0.2212,0.0299,-0.1451,0.0447,0.1369,0.0361,0.2917,0.0476,-0.0523,0.0659,-0.251,0.0464,-0.0011,0.0401,0.417,0.2227
77358206452039808,4976.6,11.8,3.074,0.03,-0.529,0.0086,-0.5325,0.0077,0.1341,0.0085,-0.0158,0.0221,-0.0072,0.0252,0.2528,0.03,0.1791,0.0151,0.0386,0.0224,0.073,0.0176,0.1516,0.0197,0.0929,0.0289,-0.1545,0.0206,-0.0013,0.0165,-0.1141,0.0956
120390510287264384,4465.8,7.1,2.16,0.025,-0.4209,0.0085,-0.4129,0.0072,0.2638,0.0065,0.0946,0.0132,0.0559,0.0158,0.317,0.0139,0.3131,0.0127,0.3001,0.0202,0.219,0.0144,0.1636,0.0154,0.2054,0.0196,-0.0941,0.0164,0.0987,0.0131,-0.2211,0.0493
143380340648059904,4740.0,10.7,2.847,0.03,-0.3846,0.0098,-0.38,0.0085,0.2533,0.0082,0.123,0.0189,0.1313,0.0219,0.3186,0.0231,0.3108,0.0153,0.2892,0.026,0.1935,0.0183,0.1751,0.0199,0.2164,0.0276,-0.1146,0.0207,0.0968,0.0172,-0.4039,0.0852
181761233558716672,4844.9,11.1,2.199,0.036,-1.0995,0.0095,-1.1034,0.0091,0.2137,0.0114,-0.114,0.0293,-0.1096,0.0311,0.3803,0.0316,0.2091,0.019,-0.1154,0.0225,0.1871,0.0201,0.2214,0.0258,0.081,0.032,-0.4405,0.0271,0.0061,0.0208,-0.8935,0.0779
217951143389981184,4823.6,19.6,2.141,0.051,-0.9125,0.0166,-0.9242,0.0152,0.1487,0.0174,-0.2186,0.0478,-0.0987,0.0475,0.4157,0.0538,0.1076,0.0296,-0.1216,0.0477,0.1555,0.0354,0.243,0.0461,-0.0024,0.0573,-0.3509,0.0457,0.2965,0.0401,-0.2946,0.1616
315337465240775296,4915.9,17.7,2.238,0.054,-1.4831,0.0142,-1.5346,0.0143,0.2947,0.0206,-0.0327,0.062,0.1517,0.0576,0.5604,0.0619,0.2399,0.0318,-0.2949,0.0359,0.2245,0.0336,0.4046,0.0502,,,-0.2217,0.0502,-0.8578,0.0401,-0.8396,0.1283
339385433809052160,4736.0,11.2,1.473,0.042,-1.4639,0.0109,-1.4844,0.0108,0.2258,0.0146,-0.5401,0.0373,0.0962,0.0395,0.3639,0.0341,0.1837,0.0234,-0.2329,0.0245,0.2044,0.0235,0.1392,0.0333,-0.1377,0.0364,-0.4578,0.0348,-0.0741,0.0263,-0.2658,0.072
358212680650499200,4672.3,11.5,1.631,0.048,-1.7943,0.0121,-1.8001,0.0124,0.2991,0.018,0.6334,0.0468,0.5091,0.0447,0.3226,0.038,0.3313,0.0279,-0.3061,0.0262,0.3035,0.0268,0.3601,0.0413,-0.117,0.0412,-0.2693,0.0429,-0.1671,0.032,0.734,0.0699
371033428608858240,4113.3,6.0,1.428,0.028,-0.6926,0.01,-0.6945,0.0085,0.2973,0.0075,0.1035,0.0139,0.0933,0.0161,0.3345,0.0124,0.3518,0.0146,0.1559,0.022,0.2105,0.0158,0.1747,0.018,0.1819,0.0197,-0.1279,0.0194,0.067,0.0154,-0.173,0.0365
454689465875074048,4586.4,11.1,1.59,0.045,-1.5038,0.0124,-1.4942,0.0121,0.1065,0.0155,,,0.6455,0.0375,0.1432,0.0319,0.1241,0.0252,-0.4125,0.0279,0.0642,0.0256,0.1565,0.0365,-0.0058,0.038,0.0182,0.0381,0.0149,0.0294,1.4865,0.0698
508986889108247296,4608.7,8.9,1.823,0.032,-0.9121,0.0095,-0.9158,0.0087,0.1775,0.0095,-0.1466,0.0212,0.0193,0.0237,0.2502,0.0213,0.2138,0.0168,-0.0293,0.0221,0.132,0.0181,0.1584,0.022,-0.0479,0.0263,-0.3098,0.0234,-0.0371,0.0182,0.0091,0.0596
528867742960107264,4012.0,6.3,0.588,0.034,-1.116,0.0116,-1.1409,0.0104,0.117,0.0101,-0.5268,0.0184,0.1104,0.0204,0.1322,0.0147,0.1224,0.0186,-0.3242,0.0242,0.1211,0.019,0.1295,0.0241,-0.1231,0.0235,-0.2328,0.0261,-0.045,0.0203,,
578164376851522560,4835.3,11.8,1.932,0.041,-1.3635,0.0103,-1.3889,0.0102,0.243,0.0139,-0.27,0.0371,0.0085,0.0375,0.4825,0.0368,0.1974,0.0223,-0.2814,0.0238,0.234,0.0228,0.2176,0.0316,-0.0982,0.0365,-0.3859,0.0329,-0.1099,0.0249,0.0435,0.0794
578164376851522560,4751.5,18.4,1.79,0.059,-1.4383,0.0173,-1.4616,0.0168,0.2845,0.0223,-0.3914,0.062,0.1981,0.0577,0.319,0.0578,0.263,0.0354,-0.3024,0.0451,0.3344,0.0386,0.2633,0.0573,-0.0048,0.0617,-0.6046,0.0569,-0.0549,0.0475,-0.3225,0.1336
578164376851522560,4799.0,15.0,1.907,0.049,-1.4126,0.0135,-1.4305,0.0133,0.2292,0.0179,-0.3149,0.049,-0.1445,0.0636,0.2983,0.0472,0.255,0.0285,-0.2844,0.0333,0.2021,0.0301,0.2421,0.0433,0.0098,0.0483,-0.1748,0.044,-0.0525,0.0351,-0.3653,0.1053
578294948152572032,4798.6,13.9,1.869,0.045,-1.2499,0.0125,-1.2561,0.012,0.2545,0.0154,-0.3877,0.0408,0.3018,0.0409,0.4361,0.0413,0.2583,0.0251,-0.1463,0.0309,0.2401,0.027,0.2345,0.0369,0.0012,0.043,-0.4646,0.0378,-0.0579,0.0302,-0.2933,0.0994
